ID;Zona Urbana/Rural;Usuário;Você tem título de eleitor e vota em Itaíba?;Em qual localidade você mora?;Sexo;Idade;Escolaridade;Renda da Família;Vamos começar a pesquisa. Por favor, reflita. Neste ano, 2024, terá eleição para Prefeitura de Itaíba. Você já tem candidato?;Se sim, quem?;Considerando opções, se os candidatos forem estes, em quem você votaria?;E, considerando estas diferentes opções, em quem você votaria?;E, se as opções fossem estas, em quem você votaria?;E, se as opções fossem estas, em quem você votaria?;E, se as opções fossem estas, em quem você votaria?;Na sua opinião, qual seria o candidato a vice-prefeito ideal para Rogéria Martins?;Mudando de assunto. Na sua opinião, a Prefeita de Itaíba, Regina da Saúde, está realizando uma administração:;5 ̊) De um modo geral, você aprova ou desaprova a gestão da Prefeita de Itaíba, Regina da Saúde?;Em relação ao Governo Estadual, a governadora Raquel Lyra, está realizando uma administração:;Em relação ao Governo Federal, o presidente Lula, está realizando uma administração:;Agora, sobre as dificuldades do dia a dia, na sua opinião, qual é o principal problema de Itaíba?;Agora, avalie cada área do município entre ótimo, bom, regular, ruim ou péssimo: Saúde;Educação;Segurança;Limpeza;Calçamento/Estradas;Iluminação Pública;Assistência Social/Ação Social;Transporte (Carro da Saúde/Escolar);Lazer (Festas, Incentivo a Cultura, Esportes);Agricultura (Apoio ao Produtor Rural);Abastecimento de Água;Na sua opinião, qual obra ou ação você gostaria que fosse realizada pelo próximo prefeito(a) de Itaíba?;Ainda sobre política, reflita. Qual o vereador mais atuante/que mais trabalha por Itaíba?;Para cada um desses nomes, diga se VOTARIA COM CERTEZA, PODERIA VOTAR, NÃO VOTARIA DE JEITO NENHUM ou NÃO CONHECE O SUFICIENTE PARA OPINAR: Rogéria Martins;Pedro Pilota;Valdo do Pipa;Por último, reflita. Você votaria num candidato(a) apoiado pela atual prefeita Regina da Saúde?
92;Zona Urbana;Paula;Sim;Centro;Masculino;45 a 59 anos;Até o ensino fundamental;Prefere não responder;Não;Não sabe/Não respondeu;Rogéria Martins;Rogéria Martins com o apoio do ex-prefeito Claudiano Martins;Rogéria Martins;Nenhum/Branco/Nulo;Rogéria Martins;Não sabe/Não respondeu;Regular;Desaprova;Regular;Péssima;Saúde;Péssimo;Regular;Péssimo;Regular;Péssimo;Regular;Bom;Bom;Péssimo;Ruim;Ruim;Manutenção das Estradas;Jessé;Poderia votar;Não votaria de jeito nenhum;Não votaria de jeito nenhum;Não votaria
94;Zona Urbana;Paula;Sim;Centro;Masculino;60 anos ou mais;Analfabeto/Lê e Escreve;Até 2 salários mínimos (até R$2.824,00);Não;Não sabe/Não respondeu;Rogéria Martins;Rogéria Martins com o apoio do ex-prefeito Claudiano Martins;Rogéria Martins;Nenhum/Branco/Nulo;Rogéria Martins;Não sabe/Não respondeu;Péssima;Desaprova;Regular;Regular;Estradas/Calçamento/Asfalto;Regular;Regular;Bom;Bom;Regular;Bom;Ruim;Regular;Péssimo;Péssimo;Péssimo;Manutenção das Estradas;Não sabe/Não respondeu;Votaria com certeza;Não votaria de jeito nenhum;Não votaria de jeito nenhum;Não votaria
95;Zona Urbana;Paula;Sim;Centro;Feminino;16 a 24 anos;Até o ensino médio;Prefere não responder;Sim;Rogéria Martins;Rogéria Martins;Rogéria Martins com o apoio do ex-prefeito Claudiano Martins;Rogéria Martins;Nenhum/Branco/Nulo;Rogéria Martins;Não sabe/Não respondeu;Péssima;Desaprova;Regular;Boa;Estradas/Calçamento/Asfalto;Péssimo;Bom;Regular;Bom;Ruim;Bom;Bom;Bom;Ruim;Não sabe/Não respondeu;Ruim;Calçamento de Ruas;Não sabe/Não respondeu;Votaria com certeza;Não votaria de jeito nenhum;Não votaria de jeito nenhum;Não votaria
96;Zona Urbana;Paula;Sim;Centro;Feminino;45 a 59 anos;Analfabeto/Lê e Escreve;Prefere não responder;Sim;Rogéria Martins;Rogéria Martins;Rogéria Martins com o apoio do ex-prefeito Claudiano Martins;Rogéria Martins;Nenhum/Branco/Nulo;Rogéria Martins;Não sabe/Não respondeu;Regular;Desaprova;Ruim;Regular;Abastecimento de Água;Regular;Bom;Regular;Bom;Péssimo;Regular;Regular;Bom;Ruim;Ruim;Ruim;Manutenção das Estradas;Não sabe/Não respondeu;Votaria com certeza;Não votaria de jeito nenhum;Não votaria de jeito nenhum;Não votaria
99;Zona Urbana;Paula;Sim;Centro;Masculino;60 anos ou mais;Até o ensino fundamental;Até 2 salários mínimos (até R$2.824,00);Não;Não sabe/Não respondeu;Rogéria Martins;Rogéria Martins com o apoio do ex-prefeito Claudiano Martins;Rogéria Martins;Nenhum/Branco/Nulo;Rogéria Martins;Não sabe/Não respondeu;Boa;Aprova;Regular;Regular;Estradas/Calçamento/Asfalto;Regular;Bom;Bom;Bom;Péssimo;Bom;Bom;Bom;Péssimo;Bom;Bom;Calçamento de Ruas;Dindo;Votaria com certeza;Poderia votar;Poderia votar;Não votaria
100;Zona Urbana;Paula;Sim;Centro;Feminino;60 anos ou mais;Analfabeto/Lê e Escreve;Até 2 salários mínimos (até R$2.824,00);Sim;Rogéria Martins;Rogéria Martins;Rogéria Martins com o apoio do ex-prefeito Claudiano Martins;Rogéria Martins;Nenhum/Branco/Nulo;Rogéria Martins;Não sabe/Não respondeu;Regular;Desaprova;Ruim;Péssima;Estradas/Calçamento/Asfalto;Regular;Regular;Ruim;Bom;Péssimo;Bom;Bom;Bom;Péssimo;Bom;Ruim;Manutenção das Estradas;Não sabe/Não respondeu;Votaria com certeza;Poderia votar;Não votaria de jeito nenhum;Sim, votaria
102;Zona Urbana;Paula;Sim;Centro;Masculino;60 anos ou mais;Até o ensino fundamental;Até 2 salários mínimos (até R$2.824,00);Não;Não sabe/Não respondeu;Rogéria Martins;Rogéria Martins com o apoio do ex-prefeito Claudiano Martins;Rogéria Martins;Nenhum/Branco/Nulo;Rogéria Martins;Não sabe/Não respondeu;Boa;Aprova;Péssima;Regular;Saneamento Básico;Bom;Bom;Bom;Regular;Péssimo;Bom;Bom;Bom;Bom;Bom;Péssimo;Investir mais em saneamento;Não sabe/Não respondeu;Votaria com certeza;Não votaria de jeito nenhum;Não votaria de jeito nenhum;Não votaria
103;Zona Urbana;Paula;Sim;Centro;Masculino;45 a 59 anos;Até o ensino fundamental;Até 2 salários mínimos (até R$2.824,00);Não;Não sabe/Não respondeu;Não sabe/Não respondeu;Não sabe/Não respondeu;Rogéria Martins;Nenhum/Branco/Nulo;Rogéria Martins;Não sabe/Não respondeu;Boa;Aprova;Boa;Ruim;Estradas/Calçamento/Asfalto;Bom;Bom;Ruim;Bom;Regular;Regular;Bom;Bom;Ruim;Bom;Bom;Não sabe/Não respondeu;Não sabe/Não respondeu;Poderia votar;Não votaria de jeito nenhum;Não votaria de jeito nenhum;Depende do candidato
107;Zona Urbana;Paula;Sim;Centro;Masculino;34 a 44 anos;Até o ensino médio;Prefere não responder;Não;Não sabe/Não respondeu;Rogéria Martins;Rogéria Martins com o apoio do ex-prefeito Claudiano Martins;Rogéria Martins;Nenhum/Branco/Nulo;Rogéria Martins;Não sabe/Não respondeu;Boa;Aprova;Regular;Ruim;Estradas/Calçamento/Asfalto;Bom;Bom;Ruim;Bom;Péssimo;Bom;Bom;Bom;Ruim;Ruim;Bom;Manutenção das Estradas;Lula do Doce;Votaria com certeza;Não votaria de jeito nenhum;Não votaria de jeito nenhum;Depende do candidato
115;Zona Urbana;agatha ;Sim;Centro;Feminino;34 a 44 anos;Até a faculdade ou mais;Até 2 salários mínimos (até R$2.824,00);Sim;Rogéria Martins;Rogéria Martins;Rogéria Martins com o apoio do ex-prefeito Claudiano Martins;Rogéria Martins;Nenhum/Branco/Nulo;Rogéria Martins;Não sabe/Não respondeu;Regular;Desaprova;Regular;Péssima;Geração de Emprego e Renda;Regular;Regular;Péssimo;Regular;Regular;Péssimo;Regular;Regular;Péssimo;Regular;Bom;Atrair empresas e gerar empregos;Dinha;Votaria com certeza;Não votaria de jeito nenhum;Não votaria de jeito nenhum;Não votaria
121;Zona Urbana;agatha ;Sim;Centro;Feminino;45 a 59 anos;Até o ensino médio;Até 2 salários mínimos (até R$2.824,00);Não;Não sabe/Não respondeu;Valdo do Pipa;Valdo do Pipa;Valdo do Pipa;Valdo do Pipa;Rogéria Martins;Não sabe/Não respondeu;Regular;Desaprova;Regular;Regular;Lazer;Regular;Regular;Ruim;Regular;Ruim;Regular;Regular;Ruim;Péssimo;Regular;Péssimo;Manutenção das Estradas;Nenhum;Poderia votar;Não votaria de jeito nenhum;Votaria com certeza;Depende do candidato
125;Zona Urbana;agatha ;Sim;Centro;Feminino;45 a 59 anos;Até o ensino fundamental;Até 2 salários mínimos (até R$2.824,00);Não;Não sabe/Não respondeu;Valdo do Pipa;Valdo do Pipa;Valdo do Pipa;Valdo do Pipa;Rogéria Martins;Não sabe/Não respondeu;Regular;Desaprova;Regular;Regular;Geração de Emprego e Renda;Bom;Bom;Regular;Péssimo;Péssimo;Péssimo;Regular;Regular;Regular;Não sabe/Não respondeu;Ruim;Manutenção das Estradas;Nenhum;Votaria com certeza;Não votaria de jeito nenhum;Poderia votar;Não votaria
126;Zona Urbana;agatha ;Sim;Centro;Masculino;60 anos ou mais;Até o ensino fundamental;Até 2 salários mínimos (até R$2.824,00);Sim;Rogéria Martins;Rogéria Martins;Rogéria Martins com o apoio do ex-prefeito Claudiano Martins;Rogéria Martins;Valdo do Pipa;Rogéria Martins;Não sabe/Não respondeu;Regular;Desaprova;Regular;Boa;Estradas/Calçamento/Asfalto;Regular;Regular;Péssimo;Péssimo;Péssimo;Ruim;Não sabe/Não respondeu;Regular;Péssimo;Ruim;Ruim;Manutenção das Estradas;Dinha;Votaria com certeza;Não votaria de jeito nenhum;Poderia votar;Depende do candidato
131;Zona Urbana;agatha ;Sim;Centro;Masculino;34 a 44 anos;Até o ensino médio;Até 2 salários mínimos (até R$2.824,00);Sim;Rogéria Martins;Rogéria Martins;Rogéria Martins com o apoio do ex-prefeito Claudiano Martins;Rogéria Martins;Valdo do Pipa;Rogéria Martins;Não sabe/Não respondeu;Regular;Desaprova;Boa;Boa;Geração de Emprego e Renda;Regular;Regular;Ruim;Bom;Regular;Regular;Regular;Bom;Péssimo;Regular;Regular;Resgatar Festa do Leite;Não sabe/Não respondeu;Votaria com certeza;Não votaria de jeito nenhum;Poderia votar;Não votaria
134;Zona Rural;Arthur;Sim;Sítio Salgadinho;Feminino;34 a 44 anos;Até o ensino médio;Prefere não responder;Sim;Rogéria Martins;Rogéria Martins;Rogéria Martins com o apoio do ex-prefeito Claudiano Martins;Rogéria Martins;Nenhum/Branco/Nulo;Rogéria Martins;Não sabe/Não respondeu;Boa;Aprova;Boa;Ótima;Segurança;Ótimo;Bom;Péssimo;Bom;Regular;Regular;Regular;Regular;Regular;Regular;Péssimo;Investir mais em segurança;Nenhum;Poderia votar;Poderia votar;Poderia votar;Depende do candidato
141;Zona Urbana;Rochelle ;Sim;Centro;Masculino;16 a 24 anos;Até o ensino médio;Até 2 salários mínimos (até R$2.824,00);Sim;Rogéria Martins;Rogéria Martins;Rogéria Martins com o apoio do ex-prefeito Claudiano Martins;Rogéria Martins;Nenhum/Branco/Nulo;Rogéria Martins;Não sabe/Não respondeu;Regular;Aprova;Boa;Boa;Geração de Emprego e Renda;Bom;Regular;Bom;Bom;Regular;Bom;Regular;Bom;Bom;Não sabe/Não respondeu;Regular;Investir mais em segurança;Lula do Doce;Votaria com certeza;Não votaria de jeito nenhum;Não votaria de jeito nenhum;Depende do candidato
145;Zona Urbana;Wenia ;Sim;Centro;Feminino;45 a 59 anos;Analfabeto/Lê e Escreve;Prefere não responder;Não;Não sabe/Não respondeu;Rogéria Martins;Rogéria Martins com o apoio do ex-prefeito Claudiano Martins;Rogéria Martins;Nenhum/Branco/Nulo;Rogéria Martins;Não sabe/Não respondeu;Ótima;Aprova;Regular;Ótima;Saneamento Básico;Ótimo;Regular;Bom;Bom;Regular;Bom;Regular;Regular;Regular;Regular;Ótimo;Não sabe/Não respondeu;Eraldo Pequeno;Votaria com certeza;Poderia votar;Não votaria de jeito nenhum;Sim, votaria
170;Zona Urbana;Wenia ;Sim;Centro;Feminino;45 a 59 anos;Até o ensino médio;Prefere não responder;Sim;Rogéria Martins;Rogéria Martins;Rogéria Martins com o apoio do ex-prefeito Claudiano Martins;Rogéria Martins;Nenhum/Branco/Nulo;Rogéria Martins;Não sabe/Não respondeu;Ótima;Aprova;Boa;Boa;Nenhum;Bom;Bom;Regular;Regular;Péssimo;Péssimo;Ruim;Ótimo;Ruim;Péssimo;Péssimo;Atrair empresas e gerar empregos;Não sabe/Não respondeu;Votaria com certeza;Não votaria de jeito nenhum;Não votaria de jeito nenhum;Sim, votaria
175;Zona Urbana;Manuela ;Sim;Centro;Masculino;25 a 34 anos;Até o ensino médio;De 2 a 5 salários mínimos (de R$2.824,00 a R$7.060,00);Sim;Rogéria Martins;Rogéria Martins;Rogéria Martins com o apoio do ex-prefeito Claudiano Martins;Rogéria Martins;Nenhum/Branco/Nulo;Rogéria Martins;Não sabe/Não respondeu;Péssima;Desaprova;Péssima;Ótima;Estradas/Calçamento/Asfalto;Regular;Regular;Péssimo;Péssimo;Ruim;Ruim;Regular;Ruim;Péssimo;Regular;Ruim;Investir mais em saneamento;Jessé;Votaria com certeza;Não votaria de jeito nenhum;Poderia votar;Não votaria
183;Zona Urbana;Luís ;Sim;Centro;Feminino;60 anos ou mais;Até o ensino médio;De 2 a 5 salários mínimos (de R$2.824,00 a R$7.060,00);Sim;Rogéria Martins;Rogéria Martins;Rogéria Martins com o apoio do ex-prefeito Claudiano Martins;Rogéria Martins;Nenhum/Branco/Nulo;Rogéria Martins;Não sabe/Não respondeu;Regular;Aprova;Péssima;Regular;Administração;Regular;Regular;Péssimo;Bom;Regular;Bom;Bom;Regular;Péssimo;Regular;Péssimo;Atrair empresas e gerar empregos;Nenhum;Votaria com certeza;Não votaria de jeito nenhum;Não votaria de jeito nenhum;Não votaria
184;Zona Urbana;Luís ;Sim;Centro;Masculino;60 anos ou mais;Até a faculdade ou mais;De 2 a 5 salários mínimos (de R$2.824,00 a R$7.060,00);Sim;Valdo do Pipa;Valdo do Pipa;Valdo do Pipa;Valdo do Pipa;Valdo do Pipa;Rogéria Martins;Não sabe/Não respondeu;Ruim;Desaprova;Boa;Ótima;Geração de Emprego e Renda;Ruim;Bom;Ruim;Ótimo;Bom;Bom;Péssimo;Bom;Ruim;Ruim;Bom;Melhorias no Hospital;Nenhum;Poderia votar;Não votaria de jeito nenhum;Votaria com certeza;Não votaria
192;Zona Urbana;Luís ;Sim;Centro;Feminino;34 a 44 anos;Até a faculdade ou mais;Até 2 salários mínimos (até R$2.824,00);Sim;Rogéria Martins;Rogéria Martins;Rogéria Martins com o apoio do ex-prefeito Claudiano Martins;Rogéria Martins;Valdo do Pipa;Rogéria Martins;Não sabe/Não respondeu;Regular;Aprova;Boa;Péssima;Saúde;Ruim;Regular;Péssimo;Péssimo;Péssimo;Péssimo;Bom;Regular;Péssimo;Bom;Péssimo;Melhorias no Hospital;Não sabe/Não respondeu;Votaria com certeza;Não votaria de jeito nenhum;Poderia votar;Não votaria
194;Zona Urbana;Luís ;Sim;Centro;Feminino;60 anos ou mais;Analfabeto/Lê e Escreve;Até 2 salários mínimos (até R$2.824,00);Sim;Rogéria Martins;Rogéria Martins;Rogéria Martins com o apoio do ex-prefeito Claudiano Martins;Rogéria Martins;Valdo do Pipa;Rogéria Martins;Não sabe/Não respondeu;Péssima;Desaprova;Boa;Ruim;Limpeza;Ruim;Bom;Bom;Ruim;Péssimo;Bom;Regular;Bom;Regular;Bom;Péssimo;Melhorias no Hospital;Nenhum;Votaria com certeza;Não votaria de jeito nenhum;Poderia votar;Depende do candidato
195;Zona Urbana;Luís ;Sim;Centro;Masculino;45 a 59 anos;Até o ensino médio;Até 2 salários mínimos (até R$2.824,00);Sim;Valdo do Pipa;Valdo do Pipa;Valdo do Pipa;Valdo do Pipa;Valdo do Pipa;Rogéria Martins;Não sabe/Não respondeu;Ótima;Aprova;Regular;Ruim;Estradas/Calçamento/Asfalto;Bom;Bom;Regular;Ruim;Péssimo;Bom;Regular;Bom;Regular;Regular;Ruim;Atrair empresas e gerar empregos;Lula do Doce;Votaria com certeza;Poderia votar;Não votaria de jeito nenhum;Depende do candidato
196;Zona Urbana;Luís ;Sim;Centro;Masculino;45 a 59 anos;Analfabeto/Lê e Escreve;Prefere não responder;Sim;Valdo do Pipa;Valdo do Pipa;Valdo do Pipa;Valdo do Pipa;Valdo do Pipa;Rogéria Martins;Não sabe/Não respondeu;Regular;Aprova;Péssima;Ruim;Saneamento Básico;Bom;Bom;Ruim;Péssimo;Péssimo;Regular;Regular;Regular;Bom;Regular;Ruim;Melhorias no Hospital;Nenhum;Não votaria de jeito nenhum;Não votaria de jeito nenhum;Votaria com certeza;Depende do candidato
203;Zona Urbana;Luís ;Sim;Centro;Feminino;45 a 59 anos;Até o ensino fundamental;Até 2 salários mínimos (até R$2.824,00);Sim;Rogéria Martins;Rogéria Martins;Rogéria Martins com o apoio do ex-prefeito Claudiano Martins;Rogéria Martins;Valdo do Pipa;Rogéria Martins;Não sabe/Não respondeu;Regular;Aprova;Ruim;Péssima;Estradas/Calçamento/Asfalto;Regular;Regular;Bom;Péssimo;Péssimo;Bom;Regular;Bom;Ruim;Regular;Ruim;Calçamento de Ruas;Jessé;Votaria com certeza;Não votaria de jeito nenhum;Não votaria de jeito nenhum;Sim, votaria
205;Zona Urbana;Luís ;Sim;Centro;Masculino;45 a 59 anos;Até o ensino médio;Até 2 salários mínimos (até R$2.824,00);Sim;Rogéria Martins;Rogéria Martins;Rogéria Martins com o apoio do ex-prefeito Claudiano Martins;Rogéria Martins;Pedro Pilota;Rogéria Martins;Não sabe/Não respondeu;Boa;Aprova;Boa;Boa;Estradas/Calçamento/Asfalto;Bom;Bom;Bom;Péssimo;Péssimo;Regular;Regular;Bom;Regular;Regular;Regular;Calçamento de Ruas;Nenhum;Votaria com certeza;Poderia votar;Não votaria de jeito nenhum;Depende do candidato
206;Zona Urbana;Luís ;Sim;Centro;Feminino;45 a 59 anos;Até o ensino médio;Até 2 salários mínimos (até R$2.824,00);Sim;Rogéria Martins;Rogéria Martins;Rogéria Martins com o apoio do ex-prefeito Claudiano Martins;Rogéria Martins;Pedro Pilota;Rogéria Martins;Não sabe/Não respondeu;Boa;Aprova;Regular;Boa;Saúde;Ruim;Bom;Bom;Bom;Ruim;Bom;Bom;Regular;Ruim;Ruim;Péssimo;Melhorias no Hospital;Nenhum;Votaria com certeza;Poderia votar;Não votaria de jeito nenhum;Depende do candidato
207;Zona Urbana;agatha ;Sim;Centro;Masculino;45 a 59 anos;Até o ensino médio;Até 2 salários mínimos (até R$2.824,00);Sim;Rogéria Martins;Rogéria Martins;Rogéria Martins com o apoio do ex-prefeito Claudiano Martins;Rogéria Martins;Nenhum/Branco/Nulo;Rogéria Martins;Não sabe/Não respondeu;Péssima;Desaprova;Regular;Regular;Geração de Emprego e Renda;Regular;Regular;Péssimo;Regular;Péssimo;Regular;Regular;Ruim;Péssimo;Regular;Regular;Investir mais em segurança;Não sabe/Não respondeu;Votaria com certeza;Não votaria de jeito nenhum;Não votaria de jeito nenhum;Não votaria
212;Zona Urbana;Rochelle ;Sim;Centro;Feminino;25 a 34 anos;Até a faculdade ou mais;Até 2 salários mínimos (até R$2.824,00);Sim;Rogéria Martins;Rogéria Martins;Rogéria Martins com o apoio do ex-prefeito Claudiano Martins;Rogéria Martins;Nenhum/Branco/Nulo;Rogéria Martins;Não sabe/Não respondeu;Regular;Aprova;Ruim;Boa;Saneamento Básico;Regular;Bom;Regular;Bom;Regular;Bom;Regular;Bom;Regular;Não sabe/Não respondeu;Ruim;Investir mais em saneamento;Nenhum;Votaria com certeza;Não votaria de jeito nenhum;Não votaria de jeito nenhum;Depende do candidato
221;Zona Rural;Riquinho ;Sim;Povoado Jirau;Masculino;25 a 34 anos;Até o ensino fundamental;Prefere não responder;Não;Não sabe/Não respondeu;Valdo do Pipa;Valdo do Pipa;Valdo do Pipa;Valdo do Pipa;Rogéria Martins;Não sabe/Não respondeu;Boa;Aprova;Ruim;Ótima;Limpeza;Bom;Bom;Regular;Ruim;Regular;Bom;Bom;Bom;Ruim;Bom;Bom;Recuperação e mais Praças;Nenhum;Poderia votar;Poderia votar;Poderia votar;Depende do candidato
222;Zona Rural;Riquinho ;Sim;Povoado Jirau;Masculino;60 anos ou mais;Analfabeto/Lê e Escreve;Até 2 salários mínimos (até R$2.824,00);Sim;Valdo do Pipa;Valdo do Pipa;Valdo do Pipa;Valdo do Pipa;Valdo do Pipa;Rogéria Martins;Não sabe/Não respondeu;Boa;Aprova;Regular;Boa;Saneamento Básico;Bom;Bom;Regular;Regular;Bom;Bom;Bom;Bom;Péssimo;Regular;Regular;Creche;Não sabe/Não respondeu;Poderia votar;Não votaria de jeito nenhum;Votaria com certeza;Sim, votaria
229;Zona Rural;Riquinho ;Sim;Sítio Salgadinho;Masculino;45 a 59 anos;Analfabeto/Lê e Escreve;Até 2 salários mínimos (até R$2.824,00);Não;Não sabe/Não respondeu;Rogéria Martins;Rogéria Martins com o apoio do ex-prefeito Claudiano Martins;Rogéria Martins;Nenhum/Branco/Nulo;Rogéria Martins;Não sabe/Não respondeu;Regular;Aprova;Regular;Boa;Abastecimento de Água;Bom;Bom;Ruim;Bom;Regular;Bom;Bom;Bom;Ruim;Ruim;Péssimo;Recuperação e mais Praças;Nenhum;Poderia votar;Não votaria de jeito nenhum;Não votaria de jeito nenhum;Não votaria
235;Zona Urbana;Manuela ;Sim;Centro;Feminino;16 a 24 anos;Até o ensino médio;Até 2 salários mínimos (até R$2.824,00);Sim;Rogéria Martins;Rogéria Martins;Rogéria Martins com o apoio do ex-prefeito Claudiano Martins;Rogéria Martins;Não sabe/Não respondeu;Rogéria Martins;Não sabe/Não respondeu;Ruim;Desaprova;Ótima;Ótima;Geração de Emprego e Renda;Ruim;Regular;Ruim;Regular;Regular;Bom;Bom;Péssimo;Regular;Regular;Ruim;Atrair empresas e gerar empregos;Jessé;Votaria com certeza;Não votaria de jeito nenhum;Não votaria de jeito nenhum;Não votaria
239;Zona Urbana;Rochelle ;Sim;Centro;Masculino;25 a 34 anos;Até o ensino médio;De 2 a 5 salários mínimos (de R$2.824,00 a R$7.060,00);Sim;Rogéria Martins;Rogéria Martins;Rogéria Martins com o apoio do ex-prefeito Claudiano Martins;Rogéria Martins;Nenhum/Branco/Nulo;Rogéria Martins;Não sabe/Não respondeu;Ruim;Desaprova;Regular;Boa;Geração de Emprego e Renda;Bom;Bom;Ruim;Bom;Regular;Ruim;Regular;Bom;Ruim;Não sabe/Não respondeu;Regular;Investir mais em saneamento;Jessé;Votaria com certeza;Não votaria de jeito nenhum;Não votaria de jeito nenhum;Não votaria
240;Zona Urbana;Rochelle ;Sim;Centro;Feminino;34 a 44 anos;Até o ensino médio;Prefere não responder;Sim;Rogéria Martins;Rogéria Martins;Rogéria Martins com o apoio do ex-prefeito Claudiano Martins;Rogéria Martins;Nenhum/Branco/Nulo;Rogéria Martins;Não sabe/Não respondeu;Não sabe/Não respondeu;Desaprova;Regular;Boa;Segurança;Regular;Bom;Ruim;Bom;Regular;Bom;Ruim;Bom;Regular;Não sabe/Não respondeu;Bom;Investir mais em segurança;Jessé;Votaria com certeza;Não votaria de jeito nenhum;Não votaria de jeito nenhum;Depende do candidato
241;Zona Urbana;Rochelle ;Sim;Centro;Masculino;45 a 59 anos;Até o ensino fundamental;Até 2 salários mínimos (até R$2.824,00);Sim;Rogéria Martins;Rogéria Martins;Rogéria Martins com o apoio do ex-prefeito Claudiano Martins;Rogéria Martins;Nenhum/Branco/Nulo;Rogéria Martins;Não sabe/Não respondeu;Ruim;Desaprova;Ruim;Boa;Saúde;Regular;Bom;Ruim;Bom;Ruim;Regular;Regular;Regular;Ruim;Péssimo;Regular;Investir mais em saneamento;Não sabe/Não respondeu;Votaria com certeza;Não votaria de jeito nenhum;Não votaria de jeito nenhum;Sim, votaria
242;Zona Urbana;Rochelle ;Sim;Centro;Feminino;16 a 24 anos;Até o ensino médio;Até 2 salários mínimos (até R$2.824,00);Sim;Rogéria Martins;Rogéria Martins;Rogéria Martins com o apoio do ex-prefeito Claudiano Martins;Rogéria Martins;Não sabe/Não respondeu;Rogéria Martins;Não sabe/Não respondeu;Ruim;Desaprova;Péssima;Regular;Saneamento Básico;Regular;Bom;Ruim;Regular;Ruim;Bom;Regular;Regular;Regular;Não sabe/Não respondeu;Regular;Estrutura da cidade;Jessé;Poderia votar;Não votaria de jeito nenhum;Não votaria de jeito nenhum;Não sabe/Não respondeu
243;Zona Urbana;Rochelle ;Sim;Centro;Masculino;25 a 34 anos;Até o ensino médio;Até 2 salários mínimos (até R$2.824,00);Sim;Rogéria Martins;Rogéria Martins;Rogéria Martins com o apoio do ex-prefeito Claudiano Martins;Rogéria Martins;Não sabe/Não respondeu;Rogéria Martins;Não sabe/Não respondeu;Ruim;Desaprova;Ruim;Boa;Geração de Emprego e Renda;Regular;Bom;Bom;Bom;Bom;Bom;Regular;Regular;Bom;Não sabe/Não respondeu;Regular;Calçamento de Ruas;Não sabe/Não respondeu;Votaria com certeza;Não votaria de jeito nenhum;Não votaria de jeito nenhum;Depende do candidato
244;Zona Urbana;Rochelle ;Sim;Centro;Masculino;45 a 59 anos;Até o ensino fundamental;Prefere não responder;Sim;Rogéria Martins;Rogéria Martins;Rogéria Martins com o apoio do ex-prefeito Claudiano Martins;Rogéria Martins;Nenhum/Branco/Nulo;Rogéria Martins;Não sabe/Não respondeu;Boa;Aprova;Ruim;Regular;Estradas/Calçamento/Asfalto;Bom;Bom;Bom;Bom;Regular;Regular;Regular;Bom;Não sabe/Não respondeu;Ruim;Regular;Agricultura;Lula do Doce;Votaria com certeza;Não votaria de jeito nenhum;Não votaria de jeito nenhum;Sim, votaria
245;Zona Urbana;Rochelle ;Sim;Centro;Masculino;34 a 44 anos;Até o ensino fundamental;Prefere não responder;Sim;Rogéria Martins;Rogéria Martins;Rogéria Martins com o apoio do ex-prefeito Claudiano Martins;Rogéria Martins;Não sabe/Não respondeu;Rogéria Martins;Não sabe/Não respondeu;Ruim;Desaprova;Regular;Boa;Geração de Emprego e Renda;Bom;Bom;Ruim;Bom;Ruim;Bom;Regular;Regular;Regular;Não sabe/Não respondeu;Ruim;Calçamento de Ruas;Jessé;Votaria com certeza;Não votaria de jeito nenhum;Não votaria de jeito nenhum;Depende do candidato
246;Zona Urbana;Rochelle ;Sim;Centro;Feminino;25 a 34 anos;Até o ensino fundamental;Até 2 salários mínimos (até R$2.824,00);Sim;Rogéria Martins;Rogéria Martins;Pedro Pilota com o apoio da prefeita Regina da Saúde;Rogéria Martins;Não sabe/Não respondeu;Rogéria Martins;Não sabe/Não respondeu;Boa;Aprova;Boa;Boa;Moradia;Regular;Bom;Regular;Bom;Ruim;Bom;Regular;Ruim;Regular;Não sabe/Não respondeu;Regular;Investir mais em saneamento;Eraldo Pequeno;Votaria com certeza;Não votaria de jeito nenhum;Não votaria de jeito nenhum;Não sabe/Não respondeu
